RANK,TEAM,Team Abbrev.,CONF,DIVISION,GP,PTS/GM,aPTS/GM,PTS DIFF,PACE,OEFF,DEFF,EDIFF,SOS,rSOS,SAR,CONS,A4F,W,L,WIN%,eWIN%,pWIN%,ACH,STRK
1,Atlanta,Atl,East,Southeast,72,113.7,111.4,2.3,97.6,115.7,113.3,2.4,-0.52,0,1.88,14.7,0.032,41,31,0.569,0.565,0.576,0.004,W4
2,Boston,Bos,East,Atlantic,72,112.6,111.2,1.4,98.2,114,112.5,1.5,-0.33,-3.5,1.17,13.7,0.01,36,36,0.5,0.544,0.546,-0.044,L1
3,Brooklyn,Bro,East,Atlantic,72,118.6,114.1,4.5,99.5,118.3,113.8,4.5,-0.44,0,4.06,13.2,0.074,48,24,0.667,0.633,0.648,0.034,W5
4,Charlotte,Cha,East,Southeast,72,109.5,111.4,-1.9,98.2,110.9,112.9,-2,0.56,-2.7,-1.44,14,-0.029,33,39,0.458,0.443,0.437,0.015,L5
5,Chicago,Chi,East,Central,72,110.7,111.6,-0.9,99,111.2,112.1,-0.9,-0.11,0,-1.01,12.9,0.046,31,41,0.431,0.472,0.47,-0.041,W1
6,Cleveland,Cle,East,Central,72,103.8,112.3,-8.5,97.3,105.8,114.4,-8.6,0.68,0,-7.92,15.9,-0.057,22,50,0.306,0.295,0.22,0.011,L2
7,Dallas,Dal,West,Southwest,72,112.4,110.2,2.2,97.3,115.5,113.2,2.3,-0.37,0,1.93,16.2,0.014,42,30,0.583,0.557,0.572,0.026,L1
8,Denver,Den,West,Northwest,72,115.1,110.1,5,97,117.2,112.2,5,-0.18,0,4.82,13.9,0.019,47,25,0.653,0.64,0.665,0.013,L1
9,Detroit,Det,East,Central,72,106.6,111.1,-4.5,97.9,108,112.5,-4.5,0.7,0,-3.8,13.4,-0.025,20,52,0.278,0.368,0.352,-0.09,L5
10,Golden State,Gol,West,Pacific,72,113.7,112.7,1,102.2,111.1,110.1,1,-1.18,3.5,-0.18,18,0.03,39,33,0.542,0.522,0.533,0.02,W6
11,Houston,Hou,West,Southwest,72,108.8,116.7,-7.9,101.4,107.1,114.9,-7.8,0.41,0,-7.39,15.2,-0.055,17,55,0.236,0.303,0.24,-0.067,L1
12,Indiana,Ind,East,Central,72,115.3,115.3,0,101.5,112.4,112.5,-0.1,-0.27,-3.8,-0.37,13.5,-0.009,34,38,0.472,0.497,0.5,-0.025,W1
13,LA Clippers,Lac,West,Pacific,72,114,107.8,6.2,96.9,117.7,111.3,6.4,-1.14,0,5.26,15.8,0.058,47,25,0.653,0.657,0.704,-0.004,L2
14,LA Lakers,Lal,West,Pacific,72,109.5,106.8,2.7,98.6,109.9,107.1,2.8,-0.93,-3,1.87,13.5,0.018,42,30,0.583,0.582,0.589,0.001,W5
15,Memphis,Mem,West,Southwest,72,113.3,112.3,1,100.4,112.1,111,1.1,0.73,-0.1,1.83,14.8,-0.023,38,34,0.528,0.53,0.533,-0.002,L1
16,Miami,Mia,East,Southeast,72,108.1,108,0.1,96.6,111.2,111.2,0,0.19,0,0.19,13.8,-0.013,40,32,0.556,0.5,0.503,0.056,W1
17,Milwaukee,Mil,East,Central,72,120.1,114.2,5.9,102.2,117.2,111.5,5.7,-1.24,0,4.46,15.5,0.059,46,26,0.639,0.643,0.694,-0.004,L1
18,Minnesota,Min,West,Northwest,72,112.1,117.7,-5.6,101.6,109.5,115,-5.5,0.65,0,-4.85,12.9,-0.064,23,49,0.319,0.335,0.316,-0.016,W1
19,New Orleans,Nor,West,Southwest,72,114.6,114.9,-0.3,100,113.6,113.9,-0.3,-0.05,0,-0.35,14.4,0.01,31,41,0.431,0.492,0.49,-0.061,L4
20,New York,Nyk,East,Atlantic,72,107,104.7,2.3,95.9,110.7,108.3,2.4,-0.42,0,1.98,15.2,0.025,41,31,0.569,0.563,0.576,0.006,W3
21,Oklahoma City,Okc,West,Northwest,72,105,115.6,-10.6,101,103.5,114,-10.5,1.01,0,-9.49,15.4,-0.023,22,50,0.306,0.247,0.151,0.059,W1
22,Orlando,Orl,East,Southeast,72,104,113.3,-9.3,98.6,105.2,114.6,-9.4,1.17,0,-8.23,14.9,-0.082,21,51,0.292,0.264,0.194,0.028,L7
23,Philadelphia,Phi,East,Atlantic,72,113.6,108.1,5.5,99.5,113.3,107.7,5.6,-0.35,0,5.25,14.9,0.019,49,23,0.681,0.646,0.681,0.035,W2
24,Phoenix,Pho,West,Pacific,72,115.3,109.5,5.8,97.2,117.2,111.3,5.9,-0.98,0,4.92,14.1,0.029,51,21,0.708,0.662,0.691,0.046,W3
25,Portland,Por,West,Northwest,72,116.1,114.3,1.8,98.4,117.8,116,1.8,0.04,0,1.84,15.4,-0.023,42,30,0.583,0.546,0.559,0.037,W1
26,Sacramento,Sac,West,Pacific,72,113.7,117.4,-3.7,100,113.6,117.3,-3.7,0.39,0,-3.31,13.8,-0.023,31,41,0.431,0.394,0.378,0.037,L3
27,San Antonio,San,West,Southwest,72,111.1,112.8,-1.7,98.9,111.1,112.8,-1.7,0.38,-0.6,-1.32,15.3,-0.061,33,39,0.458,0.456,0.444,0.002,L4
28,Toronto,Tor,East,Atlantic,72,111.3,111.7,-0.4,99.2,112,112.5,-0.5,-0.11,0,-0.61,13.5,-0.061,27,45,0.375,0.485,0.487,-0.11,L7
29,Utah,Uta,West,Northwest,72,116.4,107.2,9.2,98.5,117.7,108.3,9.4,-0.52,0,8.88,15.1,0.122,52,20,0.722,0.734,0.803,-0.012,W2
30,Washington,Was,East,Southeast,72,116.6,118.5,-1.9,104.1,111.3,113,-1.7,0.52,3,-1.18,12.9,-0.018,34,38,0.472,0.448,0.437,0.024,W2
